שם ישוב,אמת,ב,ג,ד,ום,ט,כן,ל,מחל,מרצ,עם,פה,שס,umap_x,umap_y,tsne_x,tsne_y,1,2,3,4,cluster,סמל ישוב,מצביעים,כשרים,פסולים
מעטפות חיצוניות,5.25,1.51,3.83,1.63,1.75,15.83,10.91,5.84,24.1,3.2,1.79,17.35,7.01,14.863202,3.9895127,12.374264,-9.234408,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:24.1,יש עתיד בראשות יאיר לפיד לראשות הממשלה:17.35,הציונות הדתית בראשות בצלאל סמוטריץ` ועוצמה יהודית:15.83,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:10.91,11,9999,462807,458714,4093
מעיליא,0.99,0.0,0.06,24.88,47.84,0.06,1.86,0.0,1.46,11.6,0.87,10.31,0.06,-5.0838885,7.0792828,-0.8632048,33.49235,"חד""ש תע""ל בראשות איימן עודה ואחמד טיבי:47.84","בל""ד - אלתג`מוע אלווטני אלדמוקרטי בראשות סמי אבו ש:24.88",מרצ השמאל של ישראל בראשות זהבה גלאון:11.6,יש עתיד בראשות יאיר לפיד לראשות הממשלה:10.31,10,518,1741,1724,17
מעין ברוך,18.18,1.57,0.0,0.0,0.31,3.76,12.85,5.02,11.29,6.9,0.0,39.5,0.63,12.970607,11.702775,-30.737478,-3.4716487,יש עתיד בראשות יאיר לפיד לראשות הממשלה:39.5,מפלגת העבודה בראשות מרב מיכאלי:18.18,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:12.85,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:11.29,1,416,322,322,0
מעין צבי,20.04,0.42,0.21,0.0,0.21,2.53,18.14,1.48,6.96,8.02,0.21,41.14,0.63,12.834011,11.784105,-33.14805,-3.8879135,יש עתיד בראשות יאיר לפיד לראשות הממשלה:41.14,מפלגת העבודה בראשות מרב מיכאלי:20.04,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:18.14,מרצ השמאל של ישראל בראשות זהבה גלאון:8.02,1,290,482,481,1
מעלה אדומים,0.79,1.84,1.33,0.01,0.04,26.3,6.24,3.98,43.2,0.43,0.04,7.18,8.61,14.639852,-0.35421237,26.658785,-3.8961089,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:43.2,הציונות הדתית בראשות בצלאל סמוטריץ` ועוצמה יהודית:26.3,התאחדות הספרדים שומרי תורה תנועתו של מרן הרב עובדי:8.61,יש עתיד בראשות יאיר לפיד לראשות הממשלה:7.18,3,3616,19710,19602,108
מעלה אפרים,0.5,0.5,1.32,0.0,0.33,39.6,5.45,4.62,35.64,0.5,0.0,8.75,2.81,13.643012,-1.1062049,34.534725,-6.2750964,הציונות הדתית בראשות בצלאל סמוטריץ` ועוצמה יהודית:39.6,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:35.64,יש עתיד בראשות יאיר לפיד לראשות הממשלה:8.75,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:5.45,2,3608,630,627,3
מעלה גלבוע,7.62,24.83,0.33,0.0,0.0,13.58,26.49,0.0,14.24,0.99,0.33,10.6,0.99,12.932351,-2.5769641,37.696198,-14.289241,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:26.49,הבית היהודי בראשות איילת שקד:24.83,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:14.24,הציונות הדתית בראשות בצלאל סמוטריץ` ועוצמה יהודית:13.58,11,1127,310,309,1
מעלה גמלא,19.67,1.31,0.0,0.0,0.33,4.26,11.48,1.97,11.48,5.57,0.33,43.61,0.0,12.955109,11.8856735,-31.046164,-2.6616669,יש עתיד בראשות יאיר לפיד לראשות הממשלה:43.61,מפלגת העבודה בראשות מרב מיכאלי:19.67,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:11.48,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:11.48,1,4008,317,316,1
מעלה החמישה,22.54,0.72,0.0,0.0,0.0,0.72,17.75,2.4,5.76,12.47,0.0,37.41,0.24,12.174836,12.41434,-36.16157,-5.410002,יש עתיד בראשות יאיר לפיד לראשות הממשלה:37.41,מפלגת העבודה בראשות מרב מיכאלי:22.54,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:17.75,מרצ השמאל של ישראל בראשות זהבה גלאון:12.47,6,286,423,422,1
מעלה לבונה,0.0,2.01,0.29,0.0,0.0,86.25,0.0,0.29,9.46,0.0,0.0,0.0,1.72,9.732112,-5.0536675,55.031784,-6.882835,הציונות הדתית בראשות בצלאל סמוטריץ` ועוצמה יהודית:86.25,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:9.46,הבית היהודי בראשות איילת שקד:2.01,התאחדות הספרדים שומרי תורה תנועתו של מרן הרב עובדי:1.72,7,3752,351,351,0
מעלה מכמש,0.12,8.12,0.97,0.0,0.0,65.58,1.82,0.0,19.88,0.0,0.0,0.61,2.91,10.776546,-4.222487,48.750748,-8.268441,הציונות הדתית בראשות בצלאל סמוטריץ` ועוצמה יהודית:65.58,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:19.88,הבית היהודי בראשות איילת שקד:8.12,התאחדות הספרדים שומרי תורה תנועתו של מרן הרב עובדי:2.91,7,3651,836,833,3
מעלה עירון,0.49,0.02,0.07,43.74,23.98,0.11,0.22,0.2,0.84,1.98,22.42,0.8,5.13,-3.8934827,7.6145463,-1.8270795,39.380127,"בל""ד - אלתג`מוע אלווטני אלדמוקרטי בראשות סמי אבו ש:43.74","חד""ש תע""ל בראשות איימן עודה ואחמד טיבי:23.98",הרשימה הערבית המאוחדת:22.42,התאחדות הספרדים שומרי תורה תנועתו של מרן הרב עובדי:5.13,0,1327,4599,4542,57
מעלה עמוס,0.0,1.55,48.61,0.0,0.0,32.51,0.62,0.0,4.64,0.0,0.0,0.93,11.15,12.711842,1.3392417,28.088234,-14.380433,יהדות התורה והשבת אגודת ישראל - דגל התורה:48.61,הציונות הדתית בראשות בצלאל סמוטריץ` ועוצמה יהודית:32.51,התאחדות הספרדים שומרי תורה תנועתו של מרן הרב עובדי:11.15,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:4.64,4,3653,326,324,2
מעלותתרשיחא,1.02,0.94,0.78,10.9,8.56,11.72,5.16,12.75,27.03,1.2,2.88,10.5,6.57,14.376015,2.6541548,13.230076,3.557844,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:27.03,ישראל ביתנו בראשות אביגדור ליברמן:12.75,הציונות הדתית בראשות בצלאל סמוטריץ` ועוצמה יהודית:11.72,"בל""ד - אלתג`מוע אלווטני אלדמוקרטי בראשות סמי אבו ש:10.9",11,1063,11484,11364,120
מענית,20.26,0.65,0.0,0.0,0.86,1.08,13.58,1.94,4.53,18.53,0.65,37.72,0.22,12.483069,13.693407,-41.117535,0.5033403,יש עתיד בראשות יאיר לפיד לראשות הממשלה:37.72,מפלגת העבודה בראשות מרב מיכאלי:20.26,מרצ השמאל של ישראל בראשות זהבה גלאון:18.53,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:13.58,6,344,472,471,1
מעש,8.38,1.02,0.41,0.0,0.2,7.98,15.34,2.25,16.16,4.09,0.0,43.15,1.02,16.19557,10.310435,-14.315612,-1.2513149,יש עתיד בראשות יאיר לפיד לראשות הממשלה:43.15,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:16.16,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:15.34,מפלגת העבודה בראשות מרב מיכאלי:8.38,1,230,492,492,0
מפלסים,14.02,0.82,0.21,0.21,0.0,4.33,26.19,1.44,10.1,7.84,0.41,34.43,0.0,13.9543495,10.856445,-25.956858,-6.6451883,יש עתיד בראשות יאיר לפיד לראשות הממשלה:34.43,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:26.19,מפלגת העבודה בראשות מרב מיכאלי:14.02,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:10.1,1,668,498,494,4
מצדות יהודה,0.28,8.36,1.11,0.0,0.0,79.67,1.39,0.56,4.46,1.11,0.0,1.11,1.95,9.93005,-4.903493,54.127018,-9.1651945,הציונות הדתית בראשות בצלאל סמוטריץ` ועוצמה יהודית:79.67,הבית היהודי בראשות איילת שקד:8.36,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:4.46,התאחדות הספרדים שומרי תורה תנועתו של מרן הרב עובדי:1.95,7,3745,361,361,0
מצובה,10.02,0.86,0.0,0.0,0.0,5.18,17.1,1.04,19.34,6.04,0.0,39.55,0.86,15.841742,9.580465,-13.399039,-4.239211,יש עתיד בראשות יאיר לפיד לראשות הממשלה:39.55,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:19.34,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:17.1,מפלגת העבודה בראשות מרב מיכאלי:10.02,9,325,596,596,0
מצליח,1.28,0.43,0.14,0.0,0.0,16.98,12.13,1.28,48.64,0.57,0.0,12.41,6.13,15.519968,1.6775786,20.939552,1.1135417,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:48.64,הציונות הדתית בראשות בצלאל סמוטריץ` ועוצמה יהודית:16.98,יש עתיד בראשות יאיר לפיד לראשות הממשלה:12.41,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:12.13,3,757,727,718,9
מצפה אביב,11.07,2.86,0.0,0.0,0.0,4.11,19.82,1.96,8.57,8.21,0.18,42.5,0.71,14.8114395,11.82295,-23.990217,-0.50429755,יש עתיד בראשות יאיר לפיד לראשות הממשלה:42.5,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:19.82,מפלגת העבודה בראשות מרב מיכאלי:11.07,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:8.57,1,1222,569,569,0
מצפה יריחו,0.47,3.0,1.5,0.0,0.09,72.8,1.13,0.09,15.29,0.09,0.0,0.47,5.07,10.44793,-4.4502773,51.345966,-7.337659,הציונות הדתית בראשות בצלאל סמוטריץ` ועוצמה יהודית:72.8,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:15.29,התאחדות הספרדים שומרי תורה תנועתו של מרן הרב עובדי:5.07,הבית היהודי בראשות איילת שקד:3.0,7,3576,1077,1075,2
מצפה נטופה,1.46,19.83,1.04,0.0,0.0,39.87,17.12,0.21,11.69,0.63,0.0,7.1,1.04,12.614506,-2.657683,40.164062,-12.319113,הציונות הדתית בראשות בצלאל סמוטריץ` ועוצמה יהודית:39.87,הבית היהודי בראשות איילת שקד:19.83,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:17.12,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:11.69,2,1190,488,484,4
מצפה רמון,7.05,0.78,0.47,0.16,0.94,27.94,5.27,7.15,27.0,6.16,2.04,11.64,3.39,15.0829525,3.0483773,16.636993,-9.402365,הציונות הדתית בראשות בצלאל סמוטריץ` ועוצמה יהודית:27.94,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:27.0,יש עתיד בראשות יאיר לפיד לראשות הממשלה:11.64,ישראל ביתנו בראשות אביגדור ליברמן:7.15,11,99,1985,1964,21
מרום גולן,12.99,0.0,0.25,0.0,0.25,2.21,23.28,1.96,6.86,3.19,0.25,48.77,0.0,15.221968,12.488898,-25.173462,1.9216759,יש עתיד בראשות יאיר לפיד לראשות הממשלה:48.77,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:23.28,מפלגת העבודה בראשות מרב מיכאלי:12.99,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:6.86,1,4101,416,415,1
מרחביה מושב,9.65,0.71,0.47,0.0,0.24,6.12,23.76,3.06,15.53,4.71,0.0,34.35,1.41,14.63824,10.3386965,-21.211252,-7.5615425,יש עתיד בראשות יאיר לפיד לראשות הממשלה:34.35,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:23.76,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:15.53,מפלגת העבודה בראשות מרב מיכאלי:9.65,9,97,434,434,0
מרחביה קיבוץ,5.16,0.94,0.47,0.0,0.16,3.76,15.02,4.85,22.22,13.46,0.0,33.18,0.78,15.334617,9.236093,-14.993182,-12.204891,יש עתיד בראשות יאיר לפיד לראשות הממשלה:33.18,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:22.22,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:15.02,מרצ השמאל של ישראל בראשות זהבה גלאון:13.46,9,66,656,648,8
מרכז שפירא,0.31,6.23,0.77,0.0,0.0,56.23,3.38,0.23,19.23,0.15,0.0,1.85,11.62,11.225542,-3.681138,45.755497,-6.9040728,הציונות הדתית בראשות בצלאל סמוטריץ` ועוצמה יהודית:56.23,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:19.23,התאחדות הספרדים שומרי תורה תנועתו של מרן הרב עובדי:11.62,הבית היהודי בראשות איילת שקד:6.23,2,1098,1317,1317,0
משגב דב,6.77,0.78,0.26,0.26,0.0,4.43,16.93,2.34,20.05,8.07,0.26,39.58,0.26,15.933144,9.542472,-12.801873,-3.878465,יש עתיד בראשות יאיר לפיד לראשות הממשלה:39.58,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:20.05,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:16.93,מרצ השמאל של ישראל בראשות זהבה גלאון:8.07,9,765,392,390,2
משהד,0.11,0.0,0.0,28.72,25.63,0.11,0.42,0.67,0.91,1.05,41.97,0.25,0.18,-3.6841688,6.3827567,2.6166883,40.2633,הרשימה הערבית המאוחדת:41.97,"בל""ד - אלתג`מוע אלווטני אלדמוקרטי בראשות סמי אבו ש:28.72","חד""ש תע""ל בראשות איימן עודה ואחמד טיבי:25.63",מרצ השמאל של ישראל בראשות זהבה גלאון:1.05,0,520,2892,2862,30
משואות יצחק,0.82,21.47,0.54,0.0,0.0,40.76,11.41,0.54,15.49,2.17,0.0,6.52,0.27,12.506751,-2.764536,40.911304,-11.998626,הציונות הדתית בראשות בצלאל סמוטריץ` ועוצמה יהודית:40.76,הבית היהודי בראשות איילת שקד:21.47,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:15.49,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:11.41,2,620,375,374,1
משמר איילון,6.04,2.42,0.0,0.0,0.6,10.88,20.85,4.53,23.26,4.23,0.0,26.59,0.6,15.176087,7.138878,-3.399889,-10.050411,יש עתיד בראשות יאיר לפיד לראשות הממשלה:26.59,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:23.26,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:20.85,הציונות הדתית בראשות בצלאל סמוטריץ` ועוצמה יהודית:10.88,9,670,337,337,0
משמר דוד,6.8,1.33,0.0,0.17,0.66,4.64,18.91,5.64,16.42,7.79,0.0,37.65,0.0,15.694511,9.866036,-14.974283,-4.5753913,יש עתיד בראשות יאיר לפיד לראשות הממשלה:37.65,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:18.91,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:16.42,מרצ השמאל של ישראל בראשות זהבה גלאון:7.79,9,563,616,614,2
משמר הירדן,5.65,0.94,0.24,0.0,0.0,18.59,8.47,1.41,44.94,2.82,0.0,13.88,3.06,15.815404,1.9537245,19.557056,-3.1793957,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:44.94,הציונות הדתית בראשות בצלאל סמוטריץ` ועוצמה יהודית:18.59,יש עתיד בראשות יאיר לפיד לראשות הממשלה:13.88,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:8.47,3,732,435,434,1
משמר הנגב,18.5,0.55,0.0,0.0,0.18,4.76,18.5,2.56,10.07,6.59,0.0,38.1,0.18,13.133348,11.4295,-30.462734,-5.55151,יש עתיד בראשות יאיר לפיד לראשות הממשלה:38.1,מפלגת העבודה בראשות מרב מיכאלי:18.5,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:18.5,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:10.07,1,395,562,559,3
משמר העמק,23.97,0.29,0.0,0.0,0.29,0.43,12.55,2.0,1.71,22.97,0.43,35.24,0.14,12.06342,14.082477,-45.09874,0.09697181,יש עתיד בראשות יאיר לפיד לראשות הממשלה:35.24,מפלגת העבודה בראשות מרב מיכאלי:23.97,מרצ השמאל של ישראל בראשות זהבה גלאון:22.97,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:12.55,6,130,716,713,3
משמר השבעה,5.69,0.37,0.55,0.0,0.18,6.42,15.96,2.57,30.46,2.94,0.0,34.31,0.55,15.210952,6.4885206,-0.84098256,-5.678174,יש עתיד בראשות יאיר לפיד לראשות הממשלה:34.31,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:30.46,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:15.96,הציונות הדתית בראשות בצלאל סמוטריץ` ועוצמה יהודית:6.42,9,729,555,551,4
משמר השרון,31.5,0.0,0.61,0.61,0.0,1.22,15.29,2.45,4.89,7.95,0.0,35.47,0.0,11.363377,12.4560795,-38.930992,-7.675939,יש עתיד בראשות יאיר לפיד לראשות הממשלה:35.47,מפלגת העבודה בראשות מרב מיכאלי:31.5,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:15.29,מרצ השמאל של ישראל בראשות זהבה גלאון:7.95,6,194,335,334,1
משמרות,19.86,0.35,0.35,0.0,0.53,1.05,12.83,2.64,8.61,9.67,0.0,44.11,0.0,12.981081,12.1198845,-32.435276,-2.0835078,יש עתיד בראשות יאיר לפיד לראשות הממשלה:44.11,מפלגת העבודה בראשות מרב מיכאלי:19.86,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:12.83,מרצ השמאל של ישראל בראשות זהבה גלאון:9.67,1,213,581,581,0
משמרת,8.75,0.95,0.19,0.0,0.19,2.66,16.73,3.42,7.22,7.98,0.0,51.9,0.0,15.714438,13.274248,-24.458298,9.336437,יש עתיד בראשות יאיר לפיד לראשות הממשלה:51.9,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:16.73,מפלגת העבודה בראשות מרב מיכאלי:8.75,מרצ השמאל של ישראל בראשות זהבה גלאון:7.98,1,425,532,532,0
משען,1.6,1.42,2.66,0.0,0.0,17.94,6.93,0.71,51.51,0.18,0.0,4.97,12.08,14.914666,0.79092664,25.53057,2.140398,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:51.51,הציונות הדתית בראשות בצלאל סמוטריץ` ועוצמה יהודית:17.94,התאחדות הספרדים שומרי תורה תנועתו של מרן הרב עובדי:12.08,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:6.93,3,791,569,569,0
מתן,7.31,0.59,0.11,0.0,0.05,5.0,14.29,3.39,14.51,7.31,0.0,46.8,0.64,15.770465,12.001197,-19.437105,5.3818455,יש עתיד בראשות יאיר לפיד לראשות הממשלה:46.8,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:14.51,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:14.29,מפלגת העבודה בראשות מרב מיכאלי:7.31,1,1315,1903,1898,5
מתתיהו,0.0,0.8,73.26,0.0,0.0,11.23,1.34,1.07,1.87,0.0,0.0,0.0,10.43,12.403378,1.4862847,26.634117,-15.125599,יהדות התורה והשבת אגודת ישראל - דגל התורה:73.26,הציונות הדתית בראשות בצלאל סמוטריץ` ועוצמה יהודית:11.23,התאחדות הספרדים שומרי תורה תנועתו של מרן הרב עובדי:10.43,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:1.87,4,3648,378,374,4
נאות גולן,5.48,1.29,0.0,0.0,0.0,8.71,21.94,3.23,20.0,2.26,0.0,36.77,0.32,15.335218,7.982432,-8.389001,-8.754912,יש עתיד בראשות יאיר לפיד לראשות הממשלה:36.77,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:21.94,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:20.0,הציונות הדתית בראשות בצלאל סמוטריץ` ועוצמה יהודית:8.71,9,4551,324,318,6
נאות מרדכי,20.64,2.41,0.0,0.0,0.0,4.29,12.6,1.34,8.85,8.04,0.0,40.75,1.07,12.942607,11.932693,-31.664076,-3.1307406,יש עתיד בראשות יאיר לפיד לראשות הממשלה:40.75,מפלגת העבודה בראשות מרב מיכאלי:20.64,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:12.6,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:8.85,1,408,383,379,4
נאעורה,1.06,0.0,0.0,23.29,25.77,0.0,0.35,0.0,2.36,1.42,45.27,0.35,0.12,-3.6891341,6.2711244,3.6404684,40.35075,הרשימה הערבית המאוחדת:45.27,"חד""ש תע""ל בראשות איימן עודה ואחמד טיבי:25.77","בל""ד - אלתג`מוע אלווטני אלדמוקרטי בראשות סמי אבו ש:23.29",הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:2.36,0,524,860,850,10
נבטים,2.94,1.31,0.82,0.0,0.16,16.97,22.19,1.47,31.65,0.49,0.82,18.6,2.61,15.5970335,4.5407176,8.229694,-6.6174626,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:31.65,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:22.19,יש עתיד בראשות יאיר לפיד לראשות הממשלה:18.6,הציונות הדתית בראשות בצלאל סמוטריץ` ועוצמה יהודית:16.97,11,396,626,625,1
נגבה,13.49,0.0,0.0,0.0,0.21,1.5,17.34,2.14,8.78,15.63,0.0,40.26,0.64,13.692641,13.385984,-34.189945,4.7734604,יש עתיד בראשות יאיר לפיד לראשות הממשלה:40.26,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:17.34,מרצ השמאל של ישראל בראשות זהבה גלאון:15.63,מפלגת העבודה בראשות מרב מיכאלי:13.49,1,315,475,474,1
נהורה,0.99,0.7,0.85,0.0,0.0,17.89,8.59,0.99,42.54,0.85,0.0,12.68,13.94,14.949905,1.7595433,22.348309,-1.1548868,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:42.54,הציונות הדתית בראשות בצלאל סמוטריץ` ועוצמה יהודית:17.89,התאחדות הספרדים שומרי תורה תנועתו של מרן הרב עובדי:13.94,יש עתיד בראשות יאיר לפיד לראשות הממשלה:12.68,3,309,718,716,2
נהלל,15.61,0.65,0.0,0.0,0.16,1.79,15.61,3.25,7.48,7.48,0.0,47.97,0.0,14.761347,13.33631,-28.369558,6.0296693,יש עתיד בראשות יאיר לפיד לראשות הממשלה:47.97,מפלגת העבודה בראשות מרב מיכאלי:15.61,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:15.61,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:7.48,1,80,620,618,2
נהריה,2.06,0.92,0.39,0.13,0.22,11.49,9.91,9.71,39.09,1.08,0.16,17.68,7.18,14.729957,3.1114025,13.31364,-1.860914,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:39.09,יש עתיד בראשות יאיר לפיד לראשות הממשלה:17.68,הציונות הדתית בראשות בצלאל סמוטריץ` ועוצמה יהודית:11.49,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:9.91,11,9100,33493,33244,249
נוב,0.49,27.25,0.73,0.0,0.0,43.31,4.38,0.0,20.68,0.0,0.0,2.19,0.97,12.206322,-3.2076488,42.330128,-12.496775,הציונות הדתית בראשות בצלאל סמוטריץ` ועוצמה יהודית:43.31,הבית היהודי בראשות איילת שקד:27.25,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:20.68,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:4.38,2,4304,417,415,2
נוגה,0.94,0.62,0.31,0.0,0.0,18.12,12.81,1.56,45.31,0.62,0.0,9.06,10.62,15.385948,1.7421391,21.96359,-2.057468,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:45.31,הציונות הדתית בראשות בצלאל סמוטריץ` ועוצמה יהודית:18.12,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:12.81,התאחדות הספרדים שומרי תורה תנועתו של מרן הרב עובדי:10.62,3,55,324,323,1
נוה צוף,0.0,8.97,0.64,0.0,0.0,71.79,1.12,0.8,14.26,0.0,0.0,0.48,1.92,10.421792,-4.5067472,51.167072,-8.481516,הציונות הדתית בראשות בצלאל סמוטריץ` ועוצמה יהודית:71.79,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:14.26,הבית היהודי בראשות איילת שקד:8.97,התאחדות הספרדים שומרי תורה תנועתו של מרן הרב עובדי:1.92,7,3573,632,630,2
נווה אילן,8.55,0.6,0.6,0.0,0.8,1.59,19.88,3.58,19.48,9.54,0.2,34.19,0.99,15.441173,9.36798,-16.507868,-8.91433,יש עתיד בראשות יאיר לפיד לראשות הממשלה:34.19,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:19.88,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:19.48,מרצ השמאל של ישראל בראשות זהבה גלאון:9.54,9,405,506,505,1
נווה דניאל,0.35,18.4,0.97,0.0,0.0,51.06,5.28,0.09,21.48,0.18,0.09,1.41,0.7,11.965299,-3.47116,43.937077,-10.69301,הציונות הדתית בראשות בצלאל סמוטריץ` ועוצמה יהודית:51.06,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:21.48,הבית היהודי בראשות איילת שקד:18.4,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:5.28,2,3725,1156,1154,2
נווה זיו,3.79,3.32,0.71,0.0,0.0,9.95,15.88,1.18,31.04,3.08,0.0,25.59,5.45,15.130974,5.042546,4.6782093,-7.016637,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:31.04,יש עתיד בראשות יאיר לפיד לראשות הממשלה:25.59,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:15.88,הציונות הדתית בראשות בצלאל סמוטריץ` ועוצמה יהודית:9.95,11,1314,426,425,1
נווה ימין,2.46,1.01,0.58,0.14,0.0,13.01,13.29,2.02,43.5,1.45,0.0,15.61,6.94,15.284337,2.4830868,17.902683,-1.5985508,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:43.5,יש עתיד בראשות יאיר לפיד לראשות הממשלה:15.61,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:13.29,הציונות הדתית בראשות בצלאל סמוטריץ` ועוצמה יהודית:13.01,11,686,702,701,1
נווה ירק,8.14,0.94,0.31,0.16,0.31,3.13,20.5,2.35,12.05,5.16,0.31,46.01,0.63,15.632747,12.040375,-20.872293,2.3034651,יש עתיד בראשות יאיר לפיד לראשות הממשלה:46.01,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:20.5,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:12.05,מפלגת העבודה בראשות מרב מיכאלי:8.14,1,858,650,650,0
נווה מבטח,9.79,1.06,1.06,0.0,0.0,7.14,24.34,0.53,15.08,5.29,0.0,34.13,1.59,14.629406,10.357443,-21.270872,-7.572353,יש עתיד בראשות יאיר לפיד לראשות הממשלה:34.13,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:24.34,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:15.08,מפלגת העבודה בראשות מרב מיכאלי:9.79,9,827,391,390,1
נווה מיכאל,0.82,1.09,5.43,0.0,0.82,24.18,7.07,0.54,43.75,0.27,0.27,4.89,10.87,14.594799,-0.24752973,26.999228,-3.0649474,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:43.75,הציונות הדתית בראשות בצלאל סמוטריץ` ועוצמה יהודית:24.18,התאחדות הספרדים שומרי תורה תנועתו של מרן הרב עובדי:10.87,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:7.07,3,1071,375,373,2
